,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
0,0.375,0.6481481481481481,0.4751131221719457,0.9464285714285714,0.1715210355987055,0.29041095890410956,1.0,0.020689655172413793,0.04054054054054054,0.3106796116504854,0.631578947368421,0.4164859002169197
1,0.3875,0.6823899371069182,0.49430523917995445,1.0,0.18064516129032257,0.30601092896174864,1.0,0.018691588785046728,0.03669724770642202,0.3122977346278317,0.652027027027027,0.4223194748358862
2,0.3732142857142857,0.6763754045307443,0.4810126582278481,0.9821428571428571,0.17684887459807075,0.2997275204359673,1.0,0.017857142857142856,0.03508771929824561,0.36084142394822005,0.696875,0.47547974413646055
3,0.35535714285714287,0.6419354838709678,0.4574712643678161,1.0,0.1661721068249258,0.28498727735368956,1.0,0.018808777429467086,0.036923076923076927,0.343042071197411,0.6483180428134556,0.4486772486772487
4,0.35714285714285715,0.6578947368421053,0.46296296296296297,0.9642857142857143,0.16216216216216217,0.2776349614395887,1.0,0.02,0.0392156862745098,0.3300970873786408,0.631578947368421,0.43358129649309246
5,0.37857142857142856,0.6666666666666666,0.48291571753986334,1.0,0.1696969696969697,0.29015544041450775,1.0,0.018518518518518517,0.03636363636363636,0.3333333333333333,0.6666666666666666,0.4444444444444444
6,0.32321428571428573,0.6464285714285715,0.430952380952381,1.0,0.18241042345276873,0.3085399449035813,1.0,0.01948051948051948,0.03821656050955414,0.2928802588996764,0.6135593220338983,0.3964950711938664
7,0.35892857142857143,0.6320754716981132,0.45785876993166286,0.9821428571428571,0.17027863777089783,0.29023746701846964,1.0,0.018867924528301886,0.037037037037037035,0.3300970873786408,0.631578947368421,0.43358129649309246
8,0.34464285714285714,0.6245954692556634,0.4441887226697353,0.9821428571428571,0.17973856209150327,0.30386740331491713,1.0,0.02,0.0392156862745098,0.30258899676375406,0.6192052980132451,0.40652173913043477
9,0.37142857142857144,0.636085626911315,0.4689966178128523,1.0,0.1661721068249258,0.28498727735368956,0.8333333333333334,0.016181229773462782,0.031746031746031744,0.33980582524271846,0.6542056074766355,0.4472843450479233
