,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
0,0.32321428571428573,0.5857605177993528,0.41657077100115075,1.0,0.1702127659574468,0.2909090909090909,1.0,0.017595307917888565,0.0345821325648415,0.32362459546925565,0.6134969325153374,0.423728813559322
1,0.3607142857142857,0.6066066066066066,0.45240761478163494,0.9642857142857143,0.16119402985074627,0.27621483375959077,0.8333333333333334,0.01694915254237288,0.03322259136212625,0.30906148867313915,0.60828025477707,0.40987124463519314
2,0.3410714285714286,0.6141479099678456,0.43857634902411025,1.0,0.1696969696969697,0.29015544041450775,1.0,0.01892744479495268,0.03715170278637771,0.3042071197411003,0.5968253968253968,0.4030010718113612
3,0.3142857142857143,0.6006825938566553,0.4126611957796014,0.9821428571428571,0.1724137931034483,0.29333333333333333,1.0,0.01744186046511628,0.03428571428571429,0.30097087378640774,0.6,0.40086206896551724
4,0.30892857142857144,0.5864406779661017,0.4046783625730994,1.0,0.1761006289308176,0.2994652406417112,1.0,0.018633540372670808,0.036585365853658534,0.3074433656957929,0.6070287539936102,0.40816326530612246
5,0.3875,0.640117994100295,0.4827586206896552,1.0,0.18006430868167203,0.30517711171662126,1.0,0.01818181818181818,0.03571428571428571,0.3511326860841424,0.640117994100295,0.4535005224660397
6,0.3125,0.5520504731861199,0.3990877993158495,0.9642857142857143,0.16265060240963855,0.27835051546391754,1.0,0.01910828025477707,0.0375,0.33818770226537215,0.6129032258064516,0.4358706986444213
7,0.33035714285714285,0.6065573770491803,0.4277456647398844,1.0,0.17834394904458598,0.3027027027027027,1.0,0.01904761904761905,0.037383177570093455,0.3284789644012945,0.6170212765957447,0.42872228088701164
8,0.325,0.5634674922600619,0.41223103057757643,0.9642857142857143,0.15976331360946747,0.27411167512690354,1.0,0.01749271137026239,0.034383954154727794,0.313915857605178,0.5825825825825826,0.40799158780231337
9,0.325,0.5870967741935483,0.41839080459770117,1.0,0.17721518987341772,0.3010752688172043,1.0,0.018072289156626505,0.03550295857988166,0.2993527508090615,0.6292517006802721,0.4057017543859649
