,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
0,0.3529937444146559,0.6210691823899371,0.45014245014245013,0.9910714285714286,0.17452830188679244,0.2967914438502674,1.0,0.018867924528301886,0.037037037037037035,0.32281553398058255,0.6273584905660378,0.42628205128205127
1,0.3485254691689008,0.6132075471698113,0.4444444444444444,0.9017857142857143,0.15880503144654087,0.2700534759358289,0.6666666666666666,0.012578616352201259,0.024691358024691357,0.3187702265372168,0.6194968553459119,0.42094017094017094
2,0.3521000893655049,0.6194968553459119,0.449002849002849,0.9017857142857143,0.15880503144654087,0.2700534759358289,0.3333333333333333,0.006289308176100629,0.012345679012345678,0.32281553398058255,0.6273584905660378,0.42628205128205127
3,0.3485254691689008,0.6132075471698113,0.4444444444444444,0.9196428571428571,0.1619496855345912,0.27540106951871657,0.6666666666666666,0.012578616352201259,0.024691358024691357,0.3155339805825243,0.6132075471698113,0.4166666666666667
4,0.34226988382484363,0.6022012578616353,0.43646723646723645,0.875,0.1540880503144654,0.2620320855614973,0.5,0.009433962264150943,0.018518518518518517,0.313915857605178,0.610062893081761,0.41452991452991456
5,0.3449508489722967,0.6069182389937107,0.43988603988603986,0.9285714285714286,0.16352201257861634,0.27807486631016043,0.4166666666666667,0.007861635220125786,0.015432098765432098,0.31957928802589,0.6210691823899371,0.422008547008547
6,0.34584450402144773,0.6084905660377359,0.441025641025641,0.9196428571428571,0.1619496855345912,0.27540106951871657,0.5,0.009433962264150943,0.018518518518518517,0.31472491909385114,0.6116352201257862,0.4155982905982906
7,0.3485254691689008,0.6132075471698113,0.4444444444444444,0.9821428571428571,0.17295597484276728,0.29411764705882354,1.0,0.018867924528301886,0.037037037037037035,0.31957928802589,0.6210691823899371,0.422008547008547
8,0.34316353887399464,0.6037735849056604,0.4376068376068376,0.875,0.1540880503144654,0.2620320855614973,0.75,0.014150943396226415,0.027777777777777776,0.31472491909385114,0.6116352201257862,0.4155982905982906
9,0.35031277926720283,0.6163522012578616,0.44672364672364673,0.875,0.1540880503144654,0.2620320855614973,0.3333333333333333,0.006289308176100629,0.012345679012345678,0.32119741100323623,0.6242138364779874,0.42414529914529914
