,AUC,AP
0,0.4654552423458555,0.0025697701131309827
1,0.47631289700736246,0.002571698900967092
2,0.47466847494534964,0.0025623034555869893
3,0.4685042302275393,0.002532238376796331
4,0.4583880355204731,0.0025318918707733767
5,0.47312433591286,0.0025350582872874527
6,0.46771358230305243,0.0025564823367564943
7,0.4640190649844738,0.0025238067585443345
8,0.4643786042141568,0.0025403201780345437
9,0.4647375526084559,0.002536782624140036
10,0.4585868039314361,0.0025492907346837367
11,0.45226398831388837,0.0025131585219014445
12,0.4748733180905791,0.002544088403865296
13,0.46096697355322036,0.0025592386890821435
14,0.4688314790833684,0.0025483254319403105
15,0.4677676544629744,0.00254323093876208
16,0.4671952488541254,0.0025465986487569463
17,0.46029219517668196,0.002523822670001759
18,0.4711293924403217,0.002548382308582767
19,0.4601368350494565,0.0025175239131097734
20,0.46182887371081344,0.0025577025662185653
21,0.46844824949924957,0.0025447045827779987
22,0.46074416354025266,0.0025245639122641883
23,0.47032184100389396,0.0025524437120115185
24,0.4700122580520968,0.0025766607677845973
25,0.4686411457903333,0.0025568439335672457
26,0.46703325865174083,0.0025415595160248757
27,0.4619858414427005,0.002521535848285492
28,0.4739966943743764,0.0025413236077255967
29,0.4679739077747584,0.002544700169097441
30,0.46972292396803134,0.002560852935169045
31,0.461349982036238,0.0025253975916432465
32,0.4613069494025319,0.002533034446213869
33,0.47111254660692886,0.0025599940862019873
34,0.4699413104800396,0.0025474165403969566
35,0.46101958674166227,0.002517097682029259
36,0.46771453252015927,0.0025351916689942853
37,0.46776039510006595,0.002548562767117307
38,0.46749172028878605,0.002537476362020251
39,0.4600160376829869,0.0025256995639672784
40,0.45820354624751175,0.0025168827705686386
41,0.4648199308856002,0.0025412028556351003
42,0.457301501080961,0.002519054247477285
43,0.46455516342622066,0.0025516415683132557
44,0.4694148946396905,0.0025545663877767754
45,0.47082439197522563,0.002540841327198944
46,0.46629987443350496,0.0025274851403229177
47,0.4648228510469657,0.0025303474933668266
48,0.46372842130157865,0.002538886981785029
49,0.4597378104167765,0.002543605360821805
50,0.4693950975872525,0.002533355027952342
51,0.4714950322856708,0.002576926798785329
52,0.4563640435042727,0.0025364488996007513
53,0.4648904325581124,0.0025378758476113134
54,0.46671224277645096,0.0025264563614740203
55,0.4750009658938404,0.002541748838436508
56,0.47254108008174805,0.002531002722441943
57,0.46868044484725163,0.0025473942208733644
58,0.46352512882193136,0.0025325193357141006
59,0.4648073525252994,0.002542030966201928
60,0.4730458583323993,0.002573323057944944
61,0.4610069063346995,0.002531910855336094
62,0.46433566179561575,0.0025109503066367807
63,0.4676988942389341,0.0025569364125458986
64,0.4662711379455774,0.0025567439585942684
65,0.4637258886217416,0.0025243291722883967
66,0.4550660454574635,0.002524145291597018
67,0.47143840008557486,0.0025848828100139983
68,0.4669375107829306,0.0025725172219486026
69,0.4620649142953567,0.0025458753836996306
70,0.46258681050383277,0.002547525829105598
71,0.46566496006786917,0.0025280228072268257
72,0.4649050104414145,0.0025572752307193125
73,0.4635985979817975,0.002536631733616523
74,0.4739504968152094,0.0025891177101036735
75,0.46888841446557633,0.002552142342357378
76,0.4697229239680314,0.0025662770712854555
77,0.46148391458283833,0.002560893567437843
78,0.4563343279599644,0.002525010800210973
79,0.46387729333160965,0.002577430772937945
80,0.4755712898986772,0.0025807931028076123
81,0.4708437660516442,0.002540766215694263
82,0.45897556252201993,0.002509169118467883
83,0.4659664377047189,0.0025719030835676024
84,0.4594080022602419,0.0025454165062207537
85,0.4649497697342212,0.0025498925278156846
86,0.468999905620148,0.0025667576026293885
87,0.4732453270200938,0.0025697127361629965
88,0.4754650829864754,0.0025529085968425853
89,0.46832218341925014,0.0025554474440063887
90,0.4766927176413939,0.002575156876894889
91,0.466848635534969,0.002575788947606981
92,0.4679178279576808,0.0025103132628284982
93,0.4607138327580978,0.0025250786754907133
94,0.4551561593152724,0.0025185274652063435
95,0.46569952652596797,0.002546557031290273
96,0.4603506117144268,0.0025575802319460703
97,0.4710194874458232,0.00255453766205802
98,0.46716806968699703,0.0025349759520832487
99,0.47212331066039886,0.002562769989764139
