,AUC,AP
0,0.630082795,0.004765721
1,0.698727535,0.007800529
2,0.684893786,0.009383566
3,0.716639056,0.013894328
4,0.685809829,0.007966281
5,0.654998554,0.007531389
6,0.706810509,0.009029128
7,0.695875446,0.008054807
8,0.736539939,0.015878961
9,0.666773706,0.010389534
10,0.667643023,0.007723955
11,0.680821972,0.007328002
12,0.674517133,0.00840857
13,0.623829154,0.006986001
14,0.702052312,0.007992823
15,0.602826686,0.004344925
16,0.664983117,0.006170191
17,0.682032241,0.006877313
18,0.71587297,0.012296231
19,0.7314955,0.016076066
20,0.660961785,0.006022059
21,0.682258313,0.007460587
22,0.707799968,0.011602201
23,0.705992732,0.012043144
24,0.687494988,0.007575256
25,0.65829066,0.008975416
26,0.620510846,0.007227014
27,0.663620512,0.008488483
28,0.68107517,0.009326417
29,0.609744638,0.004568135
30,0.69382996,0.006439334
31,0.661282853,0.006380818
32,0.691871365,0.006560551
33,0.729142162,0.012600389
34,0.66441689,0.005946369
35,0.689806048,0.009221064
36,0.713872831,0.009934235
37,0.724628413,0.011891125
38,0.661227165,0.006996844
39,0.675940036,0.006522855
40,0.711285851,0.008263559
41,0.728863788,0.015012655
42,0.665881323,0.014446472
43,0.634202169,0.006148577
44,0.67698023,0.008145947
45,0.779502639,0.033218236
46,0.697197761,0.012671955
47,0.707219973,0.008919781
48,0.704479053,0.009016678
49,0.725317827,0.009021478
50,0.678417281,0.007354121
51,0.73449403,0.0266719
52,0.722645616,0.021409378
53,0.691339788,0.010586323
54,0.660382571,0.005641064
55,0.621987389,0.004762084
56,0.667860928,0.006325327
57,0.730223934,0.016648135
58,0.719362257,0.010359161
59,0.666896491,0.006406794
60,0.667303748,0.010206299
61,0.732770294,0.011580521
62,0.619296556,0.004427664
63,0.646034815,0.005513362
64,0.73153593,0.013200708
65,0.735021329,0.011687214
66,0.762433973,0.021460632
67,0.695970286,0.008042713
68,0.597949638,0.005922284
69,0.675263672,0.0068439
70,0.694711448,0.008884487
71,0.667012078,0.007997042
72,0.657467083,0.006892982
73,0.728974372,0.013967082
74,0.706287228,0.013253678
75,0.654948535,0.006782487
76,0.716264072,0.008839864
77,0.648174866,0.005740658
78,0.704250284,0.009549131
79,0.699786195,0.010287685
80,0.643267261,0.006063722
81,0.672169628,0.007909016
82,0.723835375,0.014245729
83,0.637563592,0.004768292
84,0.664768989,0.006117873
85,0.652596395,0.009253929
86,0.622773584,0.004565093
87,0.663914076,0.007331237
88,0.676779615,0.00879044
89,0.65699603,0.00697608
90,0.762387873,0.013513801
91,0.710213638,0.021566684
92,0.676208371,0.008376139
93,0.660141314,0.006966355
94,0.701002252,0.01655089
95,0.729164916,0.016956602
96,0.697259993,0.011506894
97,0.680873856,0.008043943
98,0.67277845,0.008690683
99,0.69543074,0.010304522
STDEV,0.035987107,0.004728281
AVG,0.684731158,0.009752886
