,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
0,0.34763181411974975,0.6116352201257862,0.4433048433048433,0.9642857142857143,0.16981132075471697,0.2887700534759358,0.75,0.014150943396226415,0.027777777777777776,0.3179611650485437,0.6179245283018868,0.4198717948717949
1,0.353887399463807,0.6226415094339622,0.4512820512820513,0.9196428571428571,0.1619496855345912,0.27540106951871657,0.6666666666666666,0.012578616352201259,0.024691358024691357,0.3244336569579288,0.6305031446540881,0.4284188034188034
2,0.35656836461126007,0.6273584905660378,0.4547008547008547,0.8928571428571429,0.15723270440251572,0.26737967914438504,0.08333333333333333,0.0015723270440251573,0.0030864197530864196,0.3244336569579288,0.6305031446540881,0.4284188034188034
3,0.3521000893655049,0.6194968553459119,0.449002849002849,0.8660714285714286,0.15251572327044025,0.25935828877005346,0.16666666666666666,0.0031446540880503146,0.006172839506172839,0.32038834951456313,0.6226415094339622,0.4230769230769231
4,0.34763181411974975,0.6116352201257862,0.4433048433048433,0.875,0.1540880503144654,0.2620320855614973,0.8333333333333334,0.015723270440251572,0.030864197530864196,0.3179611650485437,0.6179245283018868,0.4198717948717949
5,0.354781054512958,0.6242138364779874,0.45242165242165244,0.9107142857142857,0.16037735849056603,0.2727272727272727,0.5833333333333334,0.0110062893081761,0.021604938271604937,0.32524271844660196,0.6320754716981132,0.42948717948717946
6,0.34226988382484363,0.6022012578616353,0.43646723646723645,0.9285714285714286,0.16352201257861634,0.27807486631016043,0.5833333333333334,0.0110062893081761,0.021604938271604937,0.3155339805825243,0.6132075471698113,0.4166666666666667
7,0.34316353887399464,0.6037735849056604,0.4376068376068376,0.8392857142857143,0.14779874213836477,0.25133689839572193,0.16666666666666666,0.0031446540880503146,0.006172839506172839,0.313915857605178,0.610062893081761,0.41452991452991456
8,0.3485254691689008,0.6132075471698113,0.4444444444444444,0.9464285714285714,0.16666666666666666,0.28342245989304815,0.75,0.014150943396226415,0.027777777777777776,0.3187702265372168,0.6194968553459119,0.42094017094017094
9,0.3574620196604111,0.6289308176100629,0.45584045584045585,0.8928571428571429,0.15723270440251572,0.26737967914438504,0.4166666666666667,0.007861635220125786,0.015432098765432098,0.3300970873786408,0.6415094339622641,0.4358974358974359
