,precision_90,recall_90,F1_90,precision_99,recall_99,F1_99,precision_99.9,recall_99.9,F1_99.9,precision_88.95138502120972,recall_88.95138502120972,F1_88.95138502120972
0,0.3392857142857143,0.59375,0.4318181818181818,0.9642857142857143,0.1641337386018237,0.2805194805194805,1.0,0.01910828025477707,0.0375,0.3106796116504854,0.617363344051447,0.4133476856835307
1,0.32857142857142857,0.609271523178808,0.42691415313225056,0.9821428571428571,0.17295597484276728,0.29411764705882354,1.0,0.01892744479495268,0.03715170278637771,0.3074433656957929,0.6148867313915858,0.4099244875943905
2,0.2910714285714286,0.5125786163522013,0.3712984054669704,0.6785714285714286,0.1254125412541254,0.2116991643454039,0.5,0.009584664536741214,0.018808777429467086,0.27346278317152106,0.5399361022364217,0.36305048335123524
3,0.33214285714285713,0.6098360655737705,0.4300578034682081,0.9464285714285714,0.16307692307692306,0.2782152230971129,0.6666666666666666,0.012738853503184714,0.025,0.32038834951456313,0.6130030959752322,0.4208289054197662
4,0.3392857142857143,0.5705705705705706,0.425531914893617,0.8571428571428571,0.16271186440677965,0.27350427350427353,1.0,0.0189873417721519,0.037267080745341616,0.2961165048543689,0.5754716981132075,0.391025641025641
5,0.3267857142857143,0.571875,0.4159090909090909,0.8392857142857143,0.15064102564102563,0.2554347826086957,1.0,0.01875,0.03680981595092025,0.3220064724919094,0.6141975308641975,0.42250530785562634
6,0.3196428571428571,0.5457317073170732,0.40315315315315314,0.9285714285714286,0.16613418530351437,0.28184281842818426,1.0,0.01929260450160772,0.03785488958990536,0.284789644012945,0.5714285714285714,0.3801295896328294
7,0.325,0.6026490066225165,0.4222737819025522,0.875,0.1467065868263473,0.2512820512820513,0.6666666666666666,0.012084592145015106,0.02373887240356083,0.3106796116504854,0.588957055214724,0.4067796610169492
8,0.36607142857142855,0.5942028985507246,0.4530386740331492,0.9464285714285714,0.1606060606060606,0.27461139896373055,0.8333333333333334,0.0165016501650165,0.032362459546925564,0.33495145631067963,0.6179104477611941,0.43441762854144805
9,0.3392857142857143,0.6109324758842444,0.4362801377726751,0.9464285714285714,0.16614420062695925,0.2826666666666667,1.0,0.018691588785046728,0.03669724770642202,0.2896440129449838,0.5986622073578596,0.3904034896401309
