,AUC,AP
0,0.679918106,0.007423948
1,0.712990855,0.009740203
2,0.716700587,0.013591132
3,0.64913107,0.004810434
4,0.664581096,0.005107868
5,0.754257265,0.031505461
6,0.681243705,0.006519861
7,0.654085059,0.005290473
8,0.727732529,0.012085052
9,0.684781069,0.006581665
10,0.684120423,0.006224806
11,0.695245821,0.007375256
12,0.73190453,0.00895819
13,0.689033284,0.009068377
14,0.613584666,0.004461946
15,0.776834081,0.022243765
16,0.712609398,0.011113279
17,0.72413079,0.011613991
18,0.70411393,0.007921785
19,0.709197883,0.007855428
20,0.711171559,0.009934017
21,0.715763697,0.012157633
22,0.737874373,0.013362083
23,0.724193187,0.009691921
24,0.713991231,0.010184096
25,0.657982022,0.005453587
26,0.669106502,0.00653891
27,0.709395451,0.007827718
28,0.754182353,0.015781564
29,0.653490854,0.006911325
30,0.686909182,0.006648556
31,0.726219152,0.008439838
32,0.73638836,0.016745639
33,0.638214133,0.004511386
34,0.68791142,0.006321195
35,0.716880877,0.009572132
36,0.634134244,0.004877524
37,0.67237224,0.006422761
38,0.685317914,0.006978139
39,0.6789642,0.006439972
40,0.738616257,0.010666476
41,0.667032079,0.008898946
42,0.646611046,0.004574359
43,0.653602467,0.006094697
44,0.68467847,0.00788981
45,0.689774506,0.006886014
46,0.69364168,0.007965307
47,0.697536733,0.009036306
48,0.704023526,0.011690515
49,0.706146688,0.008375922
50,0.672007938,0.007001335
51,0.668149014,0.005205608
52,0.732823732,0.013927397
53,0.699075872,0.00836679
54,0.692460232,0.006779196
55,0.740496171,0.009817933
56,0.673364507,0.006433063
57,0.638559913,0.005346548
58,0.774315293,0.034707803
59,0.667003567,0.006831924
60,0.731917093,0.010896831
61,0.648218778,0.004752993
62,0.71741698,0.013430046
63,0.714419339,0.011468955
64,0.648145907,0.005197533
65,0.679253602,0.006237261
66,0.661179002,0.005671193
67,0.638359056,0.005122556
68,0.723624795,0.010511094
69,0.681364965,0.006996774
70,0.673539384,0.006992648
71,0.697723801,0.010892815
72,0.739367281,0.0104154
73,0.670522878,0.006916832
74,0.698442381,0.009692229
75,0.649671311,0.005422711
76,0.63470388,0.00477112
77,0.676060296,0.006189643
78,0.745819238,0.011690201
79,0.711751635,0.011584138
80,0.687129053,0.007584216
81,0.663882964,0.0057571
82,0.690684385,0.008737707
83,0.621211246,0.004307191
84,0.5983063,0.00391921
85,0.742137521,0.015339285
86,0.647672494,0.00678789
87,0.735110163,0.01019982
88,0.702638364,0.008907078
89,0.658736578,0.005810951
90,0.649618306,0.005144503
91,0.683554194,0.007163792
92,0.744567481,0.018386226
93,0.644507692,0.004979351
94,0.741467751,0.01130005
95,0.715039149,0.010028719
96,0.709143136,0.012518224
97,0.709424475,0.007650956
98,0.61693123,0.004359993
99,0.682394987,0.006500137
STANDEV,0.036801831,0.004803122
AVG,0.691022379,0.008910242
